Day fraction since midnight on 	200 kPa (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.642706305	16375.7334	0.184691325	29701.23633	22035.61949
0.642717885	16389.75391	0.177312285	29701.23633	22021.15274
0.642729456	16309.75195	0.175206468	29701.23633	21931.96781
0.642741033	16343.17285	0.172967747	29812.41602	21905.66843
0.642752613	16358.14844	0.168754801	29812.41602	21923.26529
0.642764173	16295.67773	0.162901133	29812.41602	21864.98241
0.642775755	16312.77441	0.152438909	29812.41602	21836.00371
0.642787335	16340.58594	0.141121432	29812.41602	21885.19037
0.64279889	16394.51172	0.128206655	29891.70508	21837.09492
0.642810483	16358.8916	0.107487589	29891.70508	21799.3879
0.642822059	16333.70117	0.093582951	29891.70508	21759.16193
0.642833613	16366.24414	0.083089359	29891.70508	21861.05093
0.642845197	16311.52832	0.084135309	29891.70508	21829.13941
0.64285679	16423.66602	0.103695132	30029.49414	21700.63321
0.642868349	16325.6084	0.104999214	30029.49414	21707.31464
0.642879925	16331.56836	0.090033159	30029.49414	21649.5956
0.642891502	16408.30664	0.082516566	30029.49414	21750.30676
0.642903079	16388.10156	0.072586015	30029.49414	21749.57353
0.642914648	16391.89453	0.059731908	30106.89453	21659.07731
0.642926209	16259.74609	0.048495702	30106.89453	21624.78477
0.642937798	16302.88965	0.040812783	30106.89453	21612.10287
0.642949372	16303.41504	0.033968255	30106.89453	21637.92497
0.642960938	16428.91602	0.029772766	30106.89453	21746.4714
0.642972519	16297.81348	0.025321676	30195.77148	21550.81324
0.642984093	16357.22559	0.021567022	30195.77148	21560.23456
0.642995661	16348.20898	0.019984881	30195.77148	21594.55809
0.643007238	16289.69336	0.01584905	30195.77148	21554.6235
0.643018817	16239.16699	0.015852662	30195.77148	21466.61629
0.643030388	16395.69336	0.015450174	30300.76563	21573.66671
0.643041958	16348.67285	0.013477102	30300.76563	21534.41122
0.643053538	16322.21875	0.013282058	30300.76563	21440.98858
0.643065097	16254.60449	0.012292993	30300.76563	21393.57872
0.643076673	16437.79297	0.011899595	30300.76563	21562.69443
0.643088266	16319.53906	0.00913816	30414.67383	21335.34201
0.643099846	16362.42383	0.007488717	30414.67383	21406.28797
0.643111414	16299.50879	0.007293914	30414.67383	21369.50089
0.643122977	16346.07324	0.007558126	30414.67383	21366.4437
0.643134561	16299.50098	0.007491064	30414.67383	21370.79437
0.643146147	16611.1582	0.006565088	30541.32813	21603.10551
0.643157704	16940.07227	0.006111491	30541.32813	21756.44689
0.64316928	17062.69727	0.0052477	30541.32813	21801.02429
0.643180849	17244.28516	0.005320601	30541.32813	21946.51789
0.643192431	17238.68359	0.004791394	30541.32813	21880.32543
0.64320402	17172.96289	-0.002173654	30620.41406	21803.24167
0.643215586	17353.29492	0.022356829	30620.41406	21929.3491
0.643227156	17234.92969	0.061142061	30620.41406	21887.01327
0.643238732	17260.39063	0.133969054	30620.41406	21842.59107
0.643250302	17208.74805	0.170074359	30620.41406	21821.16238
0.643261867	17311.85156	0.205652207	30587.59375	22002.78497
0.643273448	17188.17773	0.303324491	30587.59375	21873.6547
0.643285022	17174.54688	0.444824725	30587.59375	21901.34985
0.643296599	17263.85156	0.512812734	30587.59375	21878.21532
0.643308162	17204.47461	0.632573724	30587.59375	21848.57806
0.643319751	17284.53906	0.714496851	30532.73633	22057.1356
0.643331311	17465.67383	0.827827156	30532.73633	22145.95984
0.64334288	17407.99219	0.93210882	30532.73633	22132.21975
0.643354471	17520.0332	1.053640962	30532.73633	22173.52923
0.643366043	17351.58594	1.192479849	30532.73633	22044.87333
0.64337761	17330.23047	1.31651926	30502.05664	22087.02385
0.643389197	17375.54492	1.39916718	30502.05664	22090.30335
0.643400761	17354.57617	1.505812168	30502.05664	22034.67065
0.643412338	17366.98828	1.649830937	30502.05664	22043.48826
0.643423909	17412.26172	1.810054898	30502.05664	22091.06698
