wavelength,0,1,2,3,4,5,unknown
434,0.0003,-0.0005,0.0105,0.0024,-0.0212,0.0275,0.4212
436,0.0003,-0.0005,0.0108,0.0029,-0.0206,0.028,0.4208
438,0.0004,-0.0002,0.0112,0.0034,-0.0201,0.0289,0.4211
440,0.0003,0,0.0114,0.0037,-0.0194,0.0294,0.42
442,0.0003,0.0002,0.0118,0.0044,-0.0184,0.0306,0.4217
444,0.0003,0.0004,0.012,0.0048,-0.0177,0.0313,0.422
446,0.0004,0.0007,0.0123,0.0053,-0.0169,0.0319,0.4225
448,0.0003,0.0008,0.0125,0.0057,-0.016,0.0326,0.4227
450,0.0004,0.0012,0.013,0.0065,-0.0148,0.0337,0.4238
452,0.0002,0.0013,0.0132,0.0068,-0.0137,0.0342,0.4234
454,0.0003,0.0016,0.0136,0.0073,-0.013,0.0355,0.4248
456,0.0003,0.0019,0.0142,0.0081,-0.012,0.0367,0.4253
458,0.0003,0.0021,0.0147,0.0089,-0.0114,0.0381,0.4261
460,0.0004,0.0024,0.0152,0.0095,-0.0107,0.0394,0.4261
462,0.0002,0.0026,0.0154,0.0098,-0.0096,0.0397,0.4262
464,0.0003,0.0029,0.016,0.0109,-0.0084,0.0416,0.4267
466,0.0003,0.0033,0.0168,0.0114,-0.008,0.043,0.4294
468,0.0003,0.0036,0.017,0.012,-0.0071,0.044,0.431
470,0.0003,0.0039,0.0169,0.0123,-0.0054,0.0439,0.4295
472,0.0004,0.0038,0.0172,0.013,-0.0042,0.0451,0.4281
474,0.0002,0.0042,0.0179,0.0137,-0.0038,0.0468,0.43
476,0.0003,0.0046,0.0186,0.0147,-0.0026,0.0483,0.4313
478,0.0003,0.0048,0.0188,0.0152,-0.0016,0.0491,0.4314
480,0.0002,0.005,0.0192,0.016,-0.0003,0.0506,0.4319
482,0.0004,0.0055,0.02,0.0168,0.0005,0.0521,0.4337
484,0.0003,0.0056,0.02,0.0177,0.0021,0.0535,0.4461
486,0.0005,0.0075,0.0221,0.0198,0.004,0.0578,0.6403
488,0.0003,0.0066,0.0218,0.0189,0.0019,0.0564,0.4483
490,0.0003,0.0066,0.0216,0.0193,0.0042,0.0567,0.4351
492,0.0003,0.0064,0.0215,0.0197,0.0051,0.0572,0.434
